,Name,Market cap (US$ billion),Rank,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,JPMorgan Chase,432.92,1,346.34,346.34,346.34
1,Bank of America,231.52,2,185.22,185.22,185.22
2,Industrial and Commercial Bank of China,194.56,3,155.65,155.65,155.65
3,Agricultural Bank of China,160.68,4,128.54,128.54,128.54
4,HDFC Bank,157.91,5,126.33,126.33,126.33
5,Wells Fargo,155.87,6,124.7,124.7,124.7
6,HSBC Holdings PLC,148.9,7,119.12,119.12,119.12
7,Morgan Stanley,140.83,8,112.66,112.66,112.66
8,China Construction Bank,139.82,9,111.86,111.86,111.86
9,Bank of China,136.81,10,109.45,109.45,109.45
